,first_reporting
82215,ZTF
82268,ATLAS
82281,ATLAS
82326,ASAS-SN
82373,ATLAS
82408,ZTF
82458,ATLAS
82533,ZTF
82549,ATLAS
82591,GaiaAlerts
82592,ASAS-SN
82593,ASAS-SN
82964,SNHunt
82970,ATLAS
82974,GOTO
83014,ATLAS
83033,ASAS-SN
83049,ASAS-SN
83071,ATLAS
83073,ATLAS
83083,ATLAS
83381,Pan-STARRS
83382,Pan-STARRS
83629,ASAS-SN
83632,ZTF
83641,ASAS-SN
83766,ATLAS
83813,ZTF
83861,ASAS-SN
84011,ATLAS
84015,ATLAS
84127,ATLAS
84139,ATLAS
84149,ATLAS
84173,PSH
84236,ASAS-SN
84273,ASAS-SN
84440,ATLAS
84492,ATLAS
84528,GaiaAlerts
84667,ZTF
84703,GaiaAlerts
84729,ATLAS
84752,ZTF
84777,ASAS-SN
84857,ATLAS
84868,ATLAS
85096,ATLAS
85123,ZTF
85126,ASAS-SN
85146,ATLAS
85160,ASAS-SN
85215,POSS
85229,ATLAS
85392,ZTF
85414,ASAS-SN
85415,ASAS-SN
85652,ATLAS
85688,ZTF
85710,ZTF
85739,MASTER
85808,ZTF
85818,ATLAS
85819,ATLAS
85820,ATLAS
85826,ATLAS
85827,POSS
85901,GaiaAlerts
85929,GaiaAlerts
85972,XOSS
86125,ASAS-SN
86130,ATLAS
86132,ASAS-SN
86146,ATLAS
86181,ATLAS
86277,ZTF
86295,ATLAS
86297,SNHunt
86325,ATLAS
86334,ASAS-SN
86377,ZTF
86410,ASAS-SN
86444,ATLAS
86464,ASAS-SN
86530,ATLAS
86574,ATLAS
86624,ZTF
86673,Pan-STARRS
86692,ATLAS
86791,ATLAS
86849,XOSS
86867,ZTF
86879,ATLAS
86882,ATLAS
87028,ZTF
87034,ZTF
87040,ZTF
87044,ATLAS
87059,ZTF
87091,ATLAS
87094,ZTF
87117,GaiaAlerts
87196,ATLAS
87197,ATLAS
87209,ATLAS
87261,ATLAS
87276,ASAS-SN
87288,ATLAS
87295,ATLAS
87296,ATLAS
87390,ZTF
87424,ASAS-SN
87478,ZTF
87507,ATLAS
87575,ZTF
87702,ATLAS
87705,ATLAS
87713,ATLAS
87768,ASAS-SN
88117,ZTF
88118,ATLAS
88443,SNHunt
88499,CSNS
88549,DLT40
88582,ZTF
88717,ZTF
88732,ZTF
88822,ATLAS
88894,ZTF
88950,ZTF
89075,ZTF
89083,GaiaAlerts
89152,ASAS-SN
89175,ATLAS
89222,ATLAS
89227,Pan-STARRS
89389,ATLAS
89420,ATLAS
89421,ATLAS
89517,ATLAS
89601,ATLAS
89618,ASAS-SN
89625,ZTF
89641,ATLAS
89757,ZTF
89784,ASAS-SN
89862,ZTF
89877,ZTF
89893,ZTF
89954,ZTF
90030,DLT40
90038,ZTF
90094,POSS
90139,ZTF
90226,ASAS-SN
90257,LOSS
90261,ZTF
90263,ATLAS
90427,GaiaAlerts
90608,SNHunt
90670,POSS
90733,ZTF
90738,ZTF
90741,ZTF
90793,ZTF
90826,SNHunt
90863,ATLAS
90867,ASAS-SN
90890,ATLAS
90916,GaiaAlerts
90932,GaiaAlerts
90964,LOSS
90978,ASAS-SN
90997,ATLAS
91007,ATLAS
91037,GaiaAlerts
91045,GaiaAlerts
91055,ATLAS
91062,PTSS
91107,ASAS-SN
91112,ASAS-SN
91118,ASAS-SN
91122,GaiaAlerts
91169,ATLAS
91187,ZTF
91230,ASAS-SN
91239,ATLAS
91319,ATLAS
91365,ZTF
91376,ZTF
91384,ASAS-SN
91400,GaiaAlerts
91452,ATLAS
91507,ZTF
91624,ATLAS
91640,GaiaAlerts
91673,XOSS
91747,ASAS-SN
91754,ZTF
91792,ASAS-SN
91807,ASAS-SN
91823,SNHunt
92027,ATLAS
92048,ATLAS
92068,ZTF
92084,ASAS-SN
92086,ATLAS
92144,ATLAS
92215,ASAS-SN
92227,Pan-STARRS
92252,ASAS-SN
92289,GaiaAlerts
92293,GaiaAlerts
92379,ATLAS
92393,ZTF
92401,ASAS-SN
92485,ATLAS
92501,ZTF
92531,GaiaAlerts
92712,ATLAS
92717,ASAS-SN
92776,ATLAS
92818,ZTF
92850,GaiaAlerts
92869,ATLAS
92912,PTSS
92914,ATLAS
92942,ATLAS
92951,ASAS-SN
93139,ATLAS
93221,ATLAS
93225,BOSS
93237,ATLAS
93246,ATLAS
93258,ZTF
93284,ATLAS
93306,PTSS
93308,ATLAS
93755,ATLAS
93757,PTSS
93779,ATLAS
93802,ATLAS
93804,LOSS
93821,ASAS-SN
93822,BOSS
93863,ZTF
93872,ASAS-SN
93875,SNHunt
93880,ASAS-SN
93884,ATLAS
93937,GaiaAlerts
94004,LOSS
94062,ATLAS
94075,ASAS-SN
94092,ATLAS
94097,ATLAS
94098,ATLAS
94099,ATLAS
94119,ASAS-SN
94123,ZTF
94190,ATLAS
94196,ASAS-SN
94209,ATLAS
94210,ASAS-SN
94248,ATLAS
94274,ZTF
94287,ATLAS
94291,ASAS-SN
94313,ASAS-SN
94383,Pan-STARRS
94437,GaiaAlerts
94440,GaiaAlerts
94553,DLT40
94580,ZTF
94582,ATLAS
94722,DLT40
94754,ASAS-SN
94780,ASAS-SN
94803,ATLAS
94806,ATLAS
94834,ASAS-SN
94939,ATLAS
94977,ZTF
95011,ATLAS
95012,ATLAS
95013,ATLAS
95065,ATLAS
95111,PSH
95173,ATLAS
95177,ATLAS
95188,BOSS
95231,ATLAS
95273,ASAS-SN
95325,ATLAS
95385,ATLAS
95414,GaiaAlerts
95415,GaiaAlerts
95432,GaiaAlerts
95472,ASAS-SN
95477,ASAS-SN
95478,ATLAS
95497,ASAS-SN
95512,DLT40
95521,LOSS
95540,ATLAS
95544,ATLAS
95556,ATLAS
95585,ATLAS
95588,GaiaAlerts
95613,ASAS-SN
95652,ASAS-SN
95657,POSS
95671,Pan-STARRS
95706,ATLAS
95715,SNHunt
95755,GaiaAlerts
95758,POSS
95769,ATLAS
95773,ZTF
95778,LOSS
